OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,BoroName,NTACode,NTAName,CounDist,Postcode,BoroCD,CT2010,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
1,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/W/BROOKLYN AV,40.65831000000,-73.94406000000,999770.78817200000,179121.42724000000,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.00000000000,11203,309.00000000000,810.00000000000,3081000.00000000000,0.00000000000,3048110001.00000000000,867,"{'latitude': '40.65831', 'longitude': '-73.94406', 'needs_recoding': False}"
2,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.65800000000,-73.94723000000,998891.32634800000,179007.93993400000,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.00000000000,11203,309.00000000000,810.00000000000,3081000.00000000000,0.00000000000,0.00000000000,868,"{'latitude': '40.658', 'longitude': '-73.94723', 'needs_recoding': False}"
3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.65800000000,-73.94723000000,998891.32634800000,179007.93993400000,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.00000000000,11203,309.00000000000,810.00000000000,3081000.00000000000,0.00000000000,0.00000000000,869,"{'latitude': '40.658', 'longitude': '-73.94723', 'needs_recoding': False}"
4,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O BROOKLYN AV,40.65743000000,-73.94716000000,998910.87355300000,178800.28483800000,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.00000000000,11203,309.00000000000,810.00000000000,3081000.00000000000,3107446.00000000000,3048200001.00000000000,870,"{'latitude': '40.65743', 'longitude': '-73.94716', 'needs_recoding': False}"
5,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O/BROOKLYN AV,40.65743000000,-73.94716000000,998910.87355300000,178800.28483800000,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.00000000000,11203,309.00000000000,810.00000000000,3081000.00000000000,3107446.00000000000,3048200001.00000000000,871,"{'latitude': '40.65743', 'longitude': '-73.94716', 'needs_recoding': False}"
6,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O DWIGHT PL,40.84631400000,-73.82447200000,1032813.69945000000,247661.09462200000,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13.00000000000,10465,210.00000000000,27401.00000000000,2027401.00000000000,0.00000000000,0.00000000000,872,"{'latitude': '40.846314', 'longitude': '-73.824472', 'needs_recoding': False}"
7,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL,40.84759600000,-73.82223000000,1033433.04959000000,248129.42570700000,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,2,Bronx,BX99,park-cemetery-etc-Bronx,13.00000000000,10465,228.00000000000,276.00000000000,2027600.00000000000,0.00000000000,0.00000000000,875,"{'latitude': '40.847596', 'longitude': '-73.82223', 'needs_recoding': False}"
8,BX,Limited Free,ALTICEUSA,Pelham Bay Park,C/O MIDDLETOWN RD  /OHM AV,40.84815900000,-73.82107100000,1033753.28681000000,248335.20023000000,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13.00000000000,10465,210.00000000000,27401.00000000000,2027401.00000000000,0.00000000000,0.00000000000,876,"{'latitude': '40.848159', 'longitude': '-73.821071', 'needs_recoding': False}"
9,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD   1/P/W/O STADIUM AV,40.84832200000,-73.82075000000,1033841.97462000000,248394.76900800000,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13.00000000000,10465,210.00000000000,27401.00000000000,2027401.00000000000,0.00000000000,0.00000000000,877,"{'latitude': '40.848322', 'longitude': '-73.82075', 'needs_recoding': False}"
10,BX,Limited Free,ALTICEUSA,Pelham Bay Park,IN PARK POLE 4/P/N/O  STADIUM AV,40.84923300000,-73.82105000000,1033758.29762000000,248726.51014300000,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,2,Bronx,BX99,park-cemetery-etc-Bronx,13.00000000000,10465,228.00000000000,276.00000000000,2027600.00000000000,0.00000000000,2043350001.00000000000,878,"{'latitude': '40.849233', 'longitude': '-73.82105', 'needs_recoding': False}"
